2024-10-03 18:57:44.398 INFO Mqtt: MQTT device opened 192.168.20.90 1883 with keepalive=30
2024-10-03 18:57:44.420 INFO Discovery: Discovery publish for 14 messages
2024-10-03 18:57:44.500 INFO Client: Connecting to 192.168.60.135:10000
2024-10-03 18:57:44.521 INFO Client: Connected
2024-10-03 18:57:44.522 INFO Bridge: on_open
2024-10-03 19:10:35.029 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:10:35"}
2024-10-03 19:10:45.149 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:10:45"}
2024-10-03 19:10:54.977 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:10:54"}
2024-10-03 19:11:04.809 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:11:04"}
2024-10-03 19:11:14.642 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:11:14"}
2024-10-03 19:11:24.775 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:11:24"}
2024-10-03 19:11:34.727 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:11:34"}
2024-10-03 19:11:44.438 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:11:44"}
2024-10-03 19:11:54.268 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:11:54"}
2024-10-03 19:12:04.408 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:12:04"}
2024-10-03 19:12:14.019 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:12:14"}
2024-10-03 19:12:23.917 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:12:23"}
2024-10-03 19:12:33.897 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:12:33"}
2024-10-03 19:12:43.715 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:12:43"}
2024-10-03 19:12:53.865 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:12:53"}
2024-10-03 19:13:03.514 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:13:03"}
2024-10-03 19:13:13.413 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:13:13"}
2024-10-03 19:13:23.356 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:13:23"}
2024-10-03 19:13:33.492 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:13:33"}
2024-10-03 19:13:43.322 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:13:43"}
2024-10-03 19:13:53.007 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:13:53"}
